,№ строки,Улица,№ дома,№ Квартиры,Апрель,Май,Июнь,потребление за апрель-май,потребление за май-июнь
0,1,Пушкина,1,0,22237,22637,23035,400,398
1,2,Пушкина,1,1,7409,7559,7702,150,143
2,3,Пушкина,1,2,7411,7541,7664,130,123
3,4,Пушкина,1,3,7417,7537,7669,120,132
4,5,Пушкина,2,0,14811,15086,15407,275,321
5,6,Пушкина,2,1,7404,7546,7702,142,156
6,7,Пушкина,2,2,7407,7540,7705,133,165
7,8,Пушкина,3,0,22231,22629,23017,398,388
8,9,Пушкина,3,1,7410,7553,7664,143,111
9,10,Пушкина,3,2,7412,7535,7667,123,132
10,11,Пушкина,3,3,7409,7541,7686,132,145
11,12,Пушкина,4,0,22233,22666,23147,433,481
12,13,Пушкина,4,1,7417,7528,7662,111,134
13,14,Пушкина,4,2,7412,7544,7698,132,154
14,15,Пушкина,4,3,7404,7549,7682,145,133
15,16,Некрасова,1,0,14818,15139,15405,321,266
16,17,Некрасова,1,1,7408,7564,7686,156,122
17,18,Некрасова,1,2,7410,7575,7719,165,144
18,19,Некрасова,2,0,22237,22690,23111,453,421
19,20,Некрасова,2,1,7409,7543,7686,134,143
20,21,Некрасова,2,2,7411,7565,7688,154,123
21,22,Некрасова,2,3,7417,7550,7682,133,132
22,23,Некрасова,3,0,14811,15077,15352,266,275
23,24,Некрасова,3,1,7404,7526,7668,122,142
24,25,Некрасова,3,2,7407,7551,7684,144,133
25,26,Лермонтова,1,0,14822,15056,15322,234,266
26,27,Лермонтова,1,1,7410,7510,7632,100,122
27,28,Лермонтова,1,2,7412,7513,7657,101,144
28,29,Лермонтова,2,0,22240,22624,23024,384,400
29,30,Лермонтова,2,1,7411,7542,7692,131,150
30,31,Лермонтова,2,2,7417,7544,7674,127,130
31,32,Лермонтова,2,3,7412,7538,7658,126,120
32,33,Лермонтова,3,0,14815,15092,15293,277,201
33,34,Лермонтова,3,1,7407,7552,7652,145,100
34,35,Лермонтова,3,2,7408,7540,7641,132,101
